"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_source.label"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2010",18.691,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2010",23.364,,"Repository: ILO-STATISTICS - Micro data processing"
"Central African Republic","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2010",19.728,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2016",17.499,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2016",19.03,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2016",20.131,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2016",8.922,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2016",19.252,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2016",20.217,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2016",23.566,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2016",10.517,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2016",15.768,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2016",17.881,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2016",16.627,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2016",7.31,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2014",33.414,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2014",37.915,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2014",37.359,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2014",10.85,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2014",36.773,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2014",40.876,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2014",41.316,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2014",13.99,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2014",30.089,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2014",35.069,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2014",32.948,,"Repository: ILO-STATISTICS - Micro data processing"
"Cameroon","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2014",7.923,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2018",9.231,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2018",13.422,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2018",3.219,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2018",1.625,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2018",9.236,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2018",13.163,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2018",3.332,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2018",1.872,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2018",9.226,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2018",13.68,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2018",3.097,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo, Democratic Republic of the","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2018",1.431,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2015",10.842,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2015",17.368,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2015",2.835,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2015",0.333,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2015",10.269,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2015",17.207,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2015",3.935,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2015",0.518,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2015",11.404,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2015",17.502,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2015",1.717,,"Repository: ILO-STATISTICS - Micro data processing"
"Congo","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 15-17","2015",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Comoros","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2012",19.296,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2012",10.818,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2012",18.738,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2012",12.287,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2012",19.851,,"Repository: ILO-STATISTICS - Micro data processing"
"Comoros","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2012",9.18,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2013",2.842,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2013",4.933,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2013",0.788,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2013",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2013",3.295,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2013",5.61,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2013",1.136,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2013",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2013",2.366,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-11","2013",4.219,,"Repository: ILO-STATISTICS - Micro data processing"
"Algeria","HS - Multiple Indicator Cluster Survey, UNICEF","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): 12-14","2013",0.426,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-17","2014",3.552,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): '5-11","2014",3.357,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 12-14","2014",4.227,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Total","Age (Child labour bands): 15-17","2014",3.304,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-17","2014",5.55,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): '5-11","2014",4.764,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 12-14","2014",7.005,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Male","Age (Child labour bands): 15-17","2014",5.917,,"Repository: ILO-STATISTICS - Micro data processing"
"Egypt","HS - Demographic and Health Survey","SDG indicator 8.7.1 - Proportion of children engaged in economic activity (%)","Sex: Female","Age (Child labour bands): '5-17","2014",1.396,,"Repository: ILO-STATISTICS - Micro data processing"
