"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 25-54","Paid or unpaid: Unpaid","2019",13.5,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 55-64","Paid or unpaid: Total trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 55-64","Paid or unpaid: Paid","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Type of trainee: Total trainees","2019",45.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Type of trainee: Apprentices","2019",34.39,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Type of trainee: Other trainees","2019",6.61,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Type of trainee: Not classified","2019",4.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Type of trainee: Total trainees","2019",79.45,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Type of trainee: Apprentices","2019",64.04,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Type of trainee: Other trainees","2019",9.52,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Type of trainee: Not classified","2019",5.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Type of trainee: Total trainees","2019",35.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Type of trainee: Apprentices","2019",24.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Type of trainee: Other trainees","2019",6.26,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Type of trainee: Not classified","2019",4.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 55-64","Type of trainee: Total trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 55-64","Type of trainee: Apprentices","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 55-64","Type of trainee: Other trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Type of trainee: Total trainees","2019",57.11,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Type of trainee: Apprentices","2019",45.46,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Type of trainee: Other trainees","2019",6.65,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Type of trainee: Not classified","2019",5.01,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Type of trainee: Total trainees","2019",105.7,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Type of trainee: Apprentices","2019",88.51,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Type of trainee: Other trainees","2019",9.64,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Type of trainee: Not classified","2019",7.55,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 25-54","Type of trainee: Total trainees","2019",43.32,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 25-54","Type of trainee: Apprentices","2019",32.3,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 25-54","Type of trainee: Other trainees","2019",6.36,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 25-54","Type of trainee: Not classified","2019",4.66,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 55-64","Type of trainee: Total trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 55-64","Type of trainee: Apprentices","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): Total","Type of trainee: Total trainees","2019",33.29,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): Total","Type of trainee: Apprentices","2019",22.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): Total","Type of trainee: Other trainees","2019",6.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): Total","Type of trainee: Not classified","2019",3.79,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 15-24","Type of trainee: Total trainees","2019",54.5,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 15-24","Type of trainee: Apprentices","2019",40.79,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 15-24","Type of trainee: Other trainees","2019",9.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 15-24","Type of trainee: Not classified","2019",4.32,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 25-54","Type of trainee: Total trainees","2019",27.22,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 25-54","Type of trainee: Apprentices","2019",16.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 25-54","Type of trainee: Other trainees","2019",6.15,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 25-54","Type of trainee: Not classified","2019",4.18,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 55-64","Type of trainee: Total trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 55-64","Type of trainee: Apprentices","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Female","Age (Aggregate bands): 55-64","Type of trainee: Other trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Detailed: Total trainees","2019",45.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Detailed: Paid apprentices","2019",20.18,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Detailed: Other paid trainees","2019",3.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Detailed: Unpaid apprentices","2019",14.21,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Detailed: Other unpaid trainees","2019",3.02,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): Total","Detailed: Not classified","2019",4.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Detailed: Total trainees","2019",79.45,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Detailed: Paid apprentices","2019",32.68,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Detailed: Other paid trainees","2019",4.77,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Detailed: Unpaid apprentices","2019",31.36,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Detailed: Other unpaid trainees","2019",4.75,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 15-24","Detailed: Not classified","2019",5.89,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Detailed: Total trainees","2019",35.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Detailed: Paid apprentices","2019",17.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Detailed: Other paid trainees","2019",3.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Detailed: Unpaid apprentices","2019",7.8,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Detailed: Other unpaid trainees","2019",2.66,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 25-54","Detailed: Not classified","2019",4.43,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 55-64","Detailed: Total trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 55-64","Detailed: Paid apprentices","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Total","Age (Aggregate bands): 55-64","Detailed: Other paid trainees","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Detailed: Total trainees","2019",57.11,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Detailed: Paid apprentices","2019",32.05,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Detailed: Other paid trainees","2019",3.46,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Detailed: Unpaid apprentices","2019",13.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Detailed: Other unpaid trainees","2019",3.18,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): Total","Detailed: Not classified","2019",5.01,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Detailed: Total trainees","2019",105.7,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Detailed: Paid apprentices","2019",53.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Detailed: Other paid trainees","2019",4.22,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Detailed: Unpaid apprentices","2019",35.42,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Participation rate in work-based learning by sex, age and type (per 1000 persons)","Sex: Male","Age (Aggregate bands): 15-24","Detailed: Other unpaid trainees","2019",5.43,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
